,title,time,descript,link,brand,Negative,Neutral,Positive
19,Tether la “criptomoneda en la sombra” que es más usada que el Bitcoin, hace 1 día, Según los especialistas esta divisa domina el mercado de las monedas digitales desde su lanzamiento a finales del año 2014 - LA NACION., https://www.lanacion.com.ar/el-mundo/tether-la-criptomoneda-en-la-sombra-que-es-mas-usada-que-el-bitcoin-nid28052021/, bitcoin ,0.0,1.0,0.0
20,¿Por qué Leo Messi no podrá ver la final de la UEFA Champions League?, hace 1 día, Hay poco tiempo de entrenamiento y mucho que entrenar valga la redundancia. Así lo entiende tanto Lionel Scaloni director técnico del..., https://ar.marca.com/claro/futbol/seleccion-argentina/2021/05/28/60b1594a46163ff1748b45f8.html, lionel+messi ,0.0625,0.841,0.0965
21,Messi con sangre nueva: Barcelona cerró dos refuerzos de jerarquía, hace 39 minutos, A la confirmación del Kun Agüero se sumarían el jugador del Liverpool Wijnaldum y el español Eric garcía para reforzar todas las zonas del..., https://bolavip.com/ar/europa/Messi-con-sangre-nueva-Barcelona-cerro-dos-refuerzos-de-jerarquia-Wijnaldum-y-Eric-Garcia-ademas-del-Kun-20210530-0006.html, lionel+messi ,0.0,1.0,0.0
22,¡Un jugador de River quiere a Gallardo y Messi juntos!, hace 2 horas, El delantero del Millonario confesó que uno de sus mayores anhelos es que el Muñeco dirija a la Pulga. ¿Se dará en la Selección o en..., https://www.tycsports.com/river-plate/river-plate-federico-girotti-marcelo-gallardo-deseo-entrenar-lionel-messi-id346940.html, lionel+messi ,0.0,1.0,0.0
23,Lionel Messi les regaló un mensaje de aliento a las jugadoras de handball de Huracán, hace 23 horas, El capitán del seleccionado argentino hizo llegar su saludo a través de un video que fue exhibido en una charla por Zoom de la que..., https://www.clarin.com/deportes/messi-handball-huracan_0_Fuv2xZgXB.html, lionel+messi ,0.0,1.0,0.0
24,"De Paul y su admiración por Messi: ""No erra nunca""", hace 1 día, El volante se sorprendió por la capacidad de definición de Leo: “No le adivinan adonde le va a pegar”. Rodrigo De Paul y Lionel Messi en la..., https://www.ole.com.ar/seleccion/paul-admiracion-messi_0_bZb8407D7.html, lionel+messi ,0.0,1.0,0.0
25,«Qué hermosa»: Antonela Roccuzzo y Lionel Messi se llevaron todas las miradas con su look, hace 23 horas, Antonela Roccuzzo compartió un elegante recuerdo con Lionel Messi en el casamiento de Cesc Fàbregas y Daniella Semaan. Antonela..., https://elintransigente.com/2021/05/que-hermosa-antonela-roccuzzo-y-lionel-messi-se-llevaron-todas-las-miradas-con-su-look/, lionel+messi ,0.0,1.0,0.0
26,Joan Laporta rompió el silencio: cómo está la negociación con Lionel Messi el futuro DT del Barcelona y la afirmación sobre los nuevos fichajes, hace 2 días, El presidente del Blaugrana habló sobre el nuevo contrato del argentino: “Va bien pero no está hecho”. Al mismo tiempo anunció que la..., https://www.infobae.com/america/deportes/2021/05/28/joan-laporta-rompio-el-silencio-como-esta-la-negociacion-con-lionel-messi-para-su-continuidad-quien-sera-el-dt-del-barcelona-y-la-afirmacion-sobre-los-nuevos-fichajes/, lionel+messi ,0.0455,0.9545,0.0
27,El sorpresivo video con el que Messi alentó a un equipo femenino de handball, hace 20 horas, El capitán de la selección argentina de fútbol Lionel Messi les mandó su apoyo a las chicas de handball de Huracán a través de un video que..., https://www.radiodos.com.ar/85720-el-sorpresivo-video-con-el-que-messi-alento-a-un-equipo-femenino-de-handball, lionel+messi ,0.0,1.0,0.0
28,De Paul reveló un secreto de Messi, hace 1 día, La carrera de Rodrigo De Paul va en ascenso. Atrás quedó la irregularidad mostrada en Racing y -por estos tiempos- muestra un alto nivel en..., https://www.depo.com.ar/seleccion/De-Paul-revelo-un-secreto-de-Messi-20210528-0055.html, lionel+messi ,0.0,1.0,0.0
29,La novela de Lionel Messi y Barcelona: qué le ofrecerían para seguir, hace 2 días, El presidente del club prometió una propuesta que esté a la altura. Transcendió que le ofrecería cobrar la mitad que ahora., https://www.ambito.com/deportes/lionel-messi/la-novela-y-barcelona-que-le-ofrecerian-seguir-n5196189, lionel+messi ,0.0,1.0,0.0
30,'El método Kominsky': la temporada 3 es la mejor y da un final muy satisfactorio a la serie de Netflix con..., hace 2 días, En Netflix seguro que confiaban en tener entre manos un bombazo cuando dieron luz verde a 'El método Kominsky'. A fin de cuentas era la..., https://www.espinof.com/criticas/metodo-kominsky-temporada-3-mejor-da-final-muy-satisfactorio-a-serie-netflix-michael-douglas, netflix ,0.0,1.0,0.0
31,¿A qué hora se estrena la temporada 5B de Lucifer en Netflix?, hace 2 días, Este viernes 28 de mayo se estrena la segunda parte de la quinta temporada de 'Lucifer'...., https://www.culturaocio.com/tv/noticia-hora-estrena-temporada-5b-lucifer-netflix-20210527202335.html, netflix ,0.0,1.0,0.0
32,Ranking de Netflix Argentina: las 10 series y películas más vistas este 29 de mayo, hace 1 día, Netflix es la plataforma de streaming más utilizada en la Argentina con 45 millones de usuarios activos que cada día recorren su catálogo., https://www.lanacion.com.ar/espectaculos/ranking-de-netflix-argentina-las-10-series-y-peliculas-mas-vistas-este-29-de-mayo-nid29052021/, netflix ,0.0,1.0,0.0
33,“Lupin” “Élite” o “El Orfanato”: los estrenos que llegarán a Netflix México en junio de 2021, hace 22 horas, El próximo mes aterrizarán novedades muy esperadas en la plataforma como la película de “La Casa de las Flores”, https://www.infobae.com/america/mexico/2021/05/29/lupin-elite-o-el-orfanato-los-estrenos-que-llegaran-a-netflix-mexico-en-junio-de-2021/, netflix ,0.0,1.0,0.0
